Industry,Sector
Wholesale Footwear,Wholesale
Wholesale Import and Export,Wholesale
Retail,Retail
Retail Furniture and Home Furnishings,Retail
"Retail Appliances, Electrical, and Electronic Equipment",Retail
Retail Building Materials and Garden Equipment,Retail
Food and Beverage Retail,Retail
Retail Health and Personal Care Products,Retail
Retail Gasoline,Retail
Retail Apparel and Fashion,Retail
Retail Motor Vehicles,Retail
Retail Luxury Goods and Jewelry,Retail
Retail Groceries,Retail
Retail Pharmacies,Retail
Retail Books and Printed News,Retail
Retail Florists,Retail
Retail Office Supplies and Gifts,Retail
Retail Recyclable Materials & Used Merchandise,Retail
Online and Mail Order Retail,Retail
Retail Musical Instruments,Retail
Retail Office Equipment,Retail
Retail Art Supplies,Retail
"Transportation, Logistics, Supply Chain and Storage","Transportation, Logistics, Supply Chain and Storage"
Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Rail Transportation,"Transportation, Logistics, Supply Chain and Storage"
Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Pipeline Transportation,"Transportation, Logistics, Supply Chain and Storage"
Sightseeing Transportation,"Transportation, Logistics, Supply Chain and Storage"
Urban Transit Services,"Transportation, Logistics, Supply Chain and Storage"
Interurban and Rural Bus Services,"Transportation, Logistics, Supply Chain and Storage"
Taxi and Limousine Services,"Transportation, Logistics, Supply Chain and Storage"
School and Employee Bus Services,"Transportation, Logistics, Supply Chain and Storage"
Shuttles and Special Needs Transportation Services,"Transportation, Logistics, Supply Chain and Storage"
Postal Services,"Transportation, Logistics, Supply Chain and Storage"
Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
"Technology, Information and Media","Technology, Information and Media"
Book and Periodical Publishing,"Technology, Information and Media"
"Movies, Videos and Sound","Technology, Information and Media"
"Technology, Information and Internet","Technology, Information and Media"
Social Networking Platforms,"Technology, Information and Media"
Media and Telecommunications,"Technology, Information and Media"
Broadcast Media Production and Distribution,"Technology, Information and Media"
Telecommunications,"Technology, Information and Media"
Data Infrastructure and Analytics,"Technology, Information and Media"
Information Services,"Technology, Information and Media"
