Company,Industry,Sector
Aeropeople Ltd,Aviation & Aerospace,"Transportation, Logistics, Supply Chain and Storage"
E.ON UK,Utilities,Utilities
Compass Group UK & Ireland,Food and Beverage Services,Accomodation Services
Volkswagen Group UK Ltd,Motor Vehicle Manufacturing,Manufacturing
Impact Hub Network,Civic and Social Organizations,Consumer Services
TV 2 Danmark,Broadcast Media Production and Distribution,"Technology, Information and Media"
AviationCV,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Royal Bank of Scotland Business,Banking,Financial Services
ALDI Nord Group,Retail,Retail
KARL LAGERFELD,Retail Apparel and Fashion,Retail
Rijksvastgoedbedrijf,Real Estate,Real Estate and Equipment Rental Services
GDS Group,Events Services,Administrative and Support Services
innogy SE,Utilities,Utilities
MoGi Group,Computer Games,"Technology, Information and Media"
MCM WORLDWIDE,Retail Luxury Goods and Jewelry,Retail
INKEY | B Corp,Cosmetics,retail
Elia Group,Utilities,Utilities
Oliver Bonas,Retail,Retail
ProSiebenSat.1 Media SE,Broadcast Media Production and Distribution,"Technology, Information and Media"
Lidl Nederland,Retail,Retail
United Utilities,Utilities,Utilities
Barbour,Retail Apparel and Fashion,Retail
Countryside Partnerships,Real Estate,Real Estate and Equipment Rental Services
ScreenSkills,Entertainment Providers,Entertainment Providers
Art Fund,"Museums, Historical Sites, and Zoos",Entertainment Providers
zooplus,Retail,Retail
Adanola,Retail Apparel and Fashion,Retail
Erste Group,Banking,Financial Services
SocialTalent,E-Learning Providers,Education
Landsec,Real Estate,Real Estate and Equipment Rental Services
RTBF,Broadcast Media Production and Distribution,"Technology, Information and Media"
OnlyFans,Entertainment Providers,Entertainment Providers
Fraport AG,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ELEMIS,Cosmetics,retail
TSB Bank,Banking,Financial Services
Remedy Entertainment Plc,Computer Games,"Technology, Information and Media"
Kromberg & Schubert,Motor Vehicle Manufacturing,Manufacturing
Boden,Retail Apparel and Fashion,Retail
Cirium,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
DZ BANK AG,Banking,Financial Services
TenneT Germany,Utilities,Utilities
"Nordea Markets, Corporates & Institutions",Capital Markets,Financial Services
