Company,Industry,Sector
Islam Channel,Broadcast Media Production and Distribution,"Technology, Information and Media"
wilko,Retail,Retail
SEGA,Computer Games,"Technology, Information and Media"
KoRo,Retail Groceries,Retail
IO Interactive,Computer Games,"Technology, Information and Media"
Yorkshire Water,Utilities,Utilities
SVT,Broadcast Media Production and Distribution,"Technology, Information and Media"
Middle East Monitor (MEMO),Broadcast Media Production and Distribution,"Technology, Information and Media"
Brakes UK,Food and Beverage Services,Accomodation Services
Lighthouse,Hospitality,Accomodation Services
Team17 Digital,Computer Games,"Technology, Information and Media"
Collinson,Consumer Services,Consumer Services
Games Workshop PLC,Retail,Retail
Ink - we are travel media,Media & Telecommunications,"Technology, Information and Media"
Blinkist,E-Learning Providers,Education
foodora,Food and Beverage Services,Accomodation Services
Anglian Water Services,Utilities,Utilities
Places for People,Real Estate,Real Estate and Equipment Rental Services
Gram Games,Computer Games,"Technology, Information and Media"
Ballymore,Real Estate,Real Estate and Equipment Rental Services
Lyst,Retail Apparel and Fashion,Retail
Aramark Ireland,Hospitality,Accomodation Services
The Bicester Collection,Retail Apparel and Fashion,Retail
Fortnum & Mason,Retail,Retail
The Ned & Ned's Club,Hospitality,Accomodation Services
Air Partner,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Eberspächer Group,Motor Vehicle Manufacturing,Manufacturing
Watches of Switzerland Group PLC,Luxury Goods and Jewelry,Retail
Clarion Events,Events Services,Administrative and Support Services
Tata Motors Design Tech Centre,Motor Vehicle Manufacturing,Manufacturing
Beavertown Brewery,Food and Beverage Services,Accomodation Services
Scottish Water,Utilities,Utilities
The Dune Group,Retail,Retail
Southbank Centre,Performing Arts,Entertainment Providers
Huf Group,Motor Vehicle Manufacturing,Manufacturing
Drax Group,Utilities,Utilities
A. Lange & Söhne,Retail Luxury Goods and Jewelry,Retail
Koninklijke Horeca Nederland,Hospitality,Accomodation Services
Air France KLM Martinair Cargo,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Schwarz Corporate Solutions,Retail,Retail
Avalanche Studios Group,Computer Games,"Technology, Information and Media"
Aldermore Bank,Banking,Financial Services
WDR,Broadcast Media Production and Distribution,"Technology, Information and Media"
Djøf,Civic and Social Organizations,Consumer Services
Lindex,Retail,Retail
French Connection,Retail,Retail
The Ritz London,Hospitality,Accomodation Services
Betfair,Entertainment Providers,Entertainment Providers
Houst,Real Estate,Real Estate and Equipment Rental Services
Oh Polly,Retail,Retail
AerCap,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Åhléns AB,Retail,Retail
National Film & Television School,"Movies, Videos and Sound","Technology, Information and Media"
Sostrene Grene,Retail,Retail
The Range,Retail,Retail
Suitsupply,Retail Apparel and Fashion,Retail
vidaXL,Retail,Retail
Avia Solutions Group,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Asahi Europe & International,Food and Beverage Services,Accomodation Services
"dsm-firmenich - Health, Nutrition & Care",Food and Beverage Services,Accomodation Services
Alison,E-Learning Providers,Education
Nintendo of Europe,Entertainment Providers,Entertainment Providers
Mediatonic Games,Computer Games,"Technology, Information and Media"
Mojang Studios,Computer Games,"Technology, Information and Media"
Roka Restaurants,Restaurants,Accomodation Services
Copenhagen Airports A/S,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Mindtools,E-Learning Providers,Education
Shawbrook,Banking,Financial Services
Sizewell C,Utilities,Utilities
RISE | Visual Effects Studios,Entertainment Providers,Entertainment Providers
GANT,Retail Apparel and Fashion,Retail
Nordisk Film,Entertainment Providers,Entertainment Providers
DRIES VAN NOTEN,Retail Apparel and Fashion,Retail
Gasunie,Utilities,Utilities
Tchibo,Retail,Retail
Honda Motor Europe Ltd,Motor Vehicle Manufacturing,Manufacturing
Monki,Retail,Retail
Storytel,Entertainment Providers,Entertainment Providers
Misk City | مدينة مسك,Real Estate,Real Estate and Equipment Rental Services
Battersea Power Station,Real Estate,Real Estate and Equipment Rental Services
ENGIE UK,Utilities,Utilities
deverellsmith,Real Estate,Real Estate and Equipment Rental Services
Suntory Beverage & Food GB&I,Food and Beverage Services,Accomodation Services
Jaguar Land Rover UK,Motor Vehicle Manufacturing,Manufacturing
MAG (Airports Group),Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Stanley/Stella,Retail Apparel and Fashion,Retail
Willys,Retail,Retail
Northern Powergrid,Utilities,Utilities
Faber-Castell Group,Consumer Goods,Retail
Filippa K,Retail Apparel and Fashion,Retail
Studio Gobo,Computer Games,"Technology, Information and Media"
Koninklijke Grolsch,Food and Beverage Services,Accomodation Services
CBRE Nederland,Real Estate,Real Estate and Equipment Rental Services
Mercedes-Benz Vans,Motor Vehicle Manufacturing,Manufacturing
AFME (Association for Financial Markets in Europe),Capital Markets,Financial Services
Stena Fastigheter,Real Estate,Real Estate and Equipment Rental Services
Penhaligon's,Retail Luxury Goods and Jewelry,Retail
BNNVARA,Broadcast Media Production and Distribution,"Technology, Information and Media"
Magasin du Nord,Retail,Retail
London City Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Bundesverband der Deutschen Volksbanken und Raiffeisenbanken (BVR),Banking,Financial Services
Light + Building,Events Services,Administrative and Support Services
Jigsaw,Retail Apparel and Fashion,Retail
The Conduit,Civic and Social Organizations,Consumer Services
OUR HABITAS,Hospitality,Accomodation Services
Aimbridge Hospitality EMEA,Hospitality,Accomodation Services
Matas A/S,Retail,Retail
Scott Dunn,"Leisure, Travel & Tourism",Administrative and Support Services
ASN Bank,Banking,Financial Services
Cath Kidston,Retail,Retail
Arrowhead Game Studios,Computer Games,"Technology, Information and Media"
TLI Group,Utilities,Utilities
City Plumbing,Retail,Retail
BCS Automotive Interface Solutions,Motor Vehicle Manufacturing,Manufacturing
ZF LIFETEC,Motor Vehicle Manufacturing,Manufacturing
BURGER KING UK,Restaurants,Accomodation Services
Krispy Kreme UK & IRE,Retail,Retail
thyssenkrupp Automotive,Motor Vehicle Manufacturing,Manufacturing
YOTEL,Hospitality,Accomodation Services
SEGRO plc,Real Estate,Real Estate and Equipment Rental Services
Dishoom,Restaurants,Accomodation Services
RIEDEL Communications,Media & Telecommunications,"Technology, Information and Media"
Continental Engineering Services,Motor Vehicle Manufacturing,Manufacturing
Odense Kommune,Civic and Social Organizations,Consumer Services
Aedes vereniging van woningcorporaties,Real Estate,Real Estate and Equipment Rental Services
Pizza Hut UK & Europe,Restaurants,Accomodation Services
Irish Aviation Authority,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Unionen,Civic and Social Organizations,Consumer Services
Union Investment Real Estate GmbH,Real Estate,Real Estate and Equipment Rental Services
DOVER STREET MARKET (INTERNATIONAL) LIMITED,Retail,Retail
Vertu Motors plc,Motor Vehicle Manufacturing,Manufacturing
KRONE Trailer,Motor Vehicle Manufacturing,Manufacturing
Stadium,Retail,Retail
YASA,Motor Vehicle Manufacturing,Manufacturing
Business Features,Broadcast Media Production and Distribution,"Technology, Information and Media"
Unite Students,Real Estate,Real Estate and Equipment Rental Services
INretail,Retail,Retail
Derwent London,Real Estate,Real Estate and Equipment Rental Services
Stadtwerke München GmbH,Utilities,Utilities
Funcom,Computer Games,"Technology, Information and Media"
European Energy Exchange AG,Capital Markets,Financial Services
Camden Town Brewery,Food and Beverage Services,Accomodation Services
Seatrade Cruise,Events Services,Administrative and Support Services
Criterion Games,Computer Games,"Technology, Information and Media"
Vertu Motors plc,Motor Vehicle Manufacturing,Manufacturing
DK Company A/S,Retail Apparel and Fashion,Retail
Omroep Human,Broadcast Media Production and Distribution,"Technology, Information and Media"
Titan Airways,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Sabena Engineering,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Naked Wines,Food and Beverage Retail,Retail
Tourism Northern Ireland,"Leisure, Travel & Tourism",Administrative and Support Services
Aalborg Kommune,Civic and Social Organizations,Consumer Services
SBS,Broadcast Media Production and Distribution,"Technology, Information and Media"
Dambuster Studios,Entertainment Providers,Entertainment Providers
Gisou by Negin Mirsalehi,Cosmetics,retail
Magnox Ltd,Utilities,Utilities
Croda Beauty,Cosmetics,retail
Deutsche Hospitality,Hospitality,Accomodation Services
ECE,Real Estate,Real Estate and Equipment Rental Services
The Cookware Company,Consumer Goods,Retail
BHTC GmbH,Motor Vehicle Manufacturing,Manufacturing
Nuna,Consumer Goods,Retail
REMA 1000 Danmark,Retail,Retail
Flutter International,Entertainment Providers,Entertainment Providers
Climax Studios,Computer Games,"Technology, Information and Media"
KiK Textilien und Non-Food GmbH,Apparel and Fashion,Retail
Octobank,Banking,Financial Services
Cennox,Retail,Retail
Slachtofferhulp Nederland,Civic and Social Organizations,Consumer Services
Punch Pubs & Co,Hospitality,Accomodation Services
Ford UK,Motor Vehicle Manufacturing,Manufacturing
Dansk Supermarked Group,Retail,Retail
Double Eleven,Computer Games,"Technology, Information and Media"
Center Parcs UK & Ireland,Hospitality,Accomodation Services
Beam,Civic and Social Organizations,Consumer Services
e.GO Mobile,Motor Vehicle Manufacturing,Manufacturing
Purplebricks,Real Estate,Real Estate and Equipment Rental Services
Science in Sport Group,"Health, Wellness and Fitness",Entertainment Providers
Zeeman textielSupers,Retail,Retail
Elli,Consumer Services,Consumer Services
Birmingham Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
PizzaExpress,Food and Beverage Services,Accomodation Services
Everyman,Entertainment Providers,Entertainment Providers
Waternet,Utilities,Utilities
Maybourne,Hospitality,Accomodation Services
Retail inMotion,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Lidl Danmark,Retail,Retail
MOVE: Mobility Re-imagined,Events Services,Administrative and Support Services
Dreamtek,Broadcast Media Production and Distribution,"Technology, Information and Media"
ION develop different,Real Estate,Real Estate and Equipment Rental Services
KRO-NCRV,Broadcast Media Production and Distribution,"Technology, Information and Media"
Bewley Homes,Real Estate,Real Estate and Equipment Rental Services
Pelastakaa Lapset ry - Save the Children Finland,Civic and Social Organizations,Consumer Services
Conrad Energy,Utilities,Utilities
BAMA Gruppen AS,Food and Beverage Services,Accomodation Services
Hotel Du Vin,Hospitality,Accomodation Services
IPL International Procurement and Logistics,Food and Beverage Services,Accomodation Services
A.S.Adventure,Retail,Retail
Institute of Contemporary Arts,"Museums, Historical Sites, and Zoos",Entertainment Providers
BHS,Retail,Retail
Meyers,Food and Beverage Services,Accomodation Services
"Ashmolean Museum, Oxford","Museums, Historical Sites, and Zoos",Entertainment Providers
Hobbycraft,Retail,Retail
C. Hoare & Co.,Banking,Financial Services
British Gas Business,Utilities,Utilities
PlayStation London Studio,Computer Games,"Technology, Information and Media"
The Story Lab,Entertainment Providers,Entertainment Providers
Torsion Group,Real Estate,Real Estate and Equipment Rental Services
Fatshark AB,Computer Games,"Technology, Information and Media"
BCT Aviation Maintenance,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Zenith Vehicles,Motor Vehicle Manufacturing,Manufacturing
Castle Trust Bank,Banking,Financial Services
Dagrofa Foodservice,Food and Beverage Services,Accomodation Services
E.ON Next,Utilities,Utilities
WRG,Events Services,Administrative and Support Services
NITEX,Retail Apparel and Fashion,Retail
Fashion-Enter Ltd/ FashionCapital,Retail Apparel and Fashion,Retail
Eclective Hospitality Group,Hospitality,Accomodation Services
Phoebe Philo,Retail Apparel and Fashion,Retail
Xylem Water Solutions UK & Ireland,Utilities,Utilities
LEGO House,Entertainment Providers,Entertainment Providers
Holiday Inn/Crowne Plaza Amsterdam Area,Hospitality,Accomodation Services
Global Brands Limited,Food and Beverage Services,Accomodation Services
Deutsche Messe AG,Events Services,Administrative and Support Services
Messe Stuttgart,Events Services,Administrative and Support Services
Kawasaki Motors Europe N.V.,Motor Vehicle Manufacturing,Manufacturing
Dorothy Perkins,Retail Apparel and Fashion,Retail
Woestijnvis,Broadcast Media Production and Distribution,"Technology, Information and Media"
AYBL,Retail,Retail
SMS,Utilities,Utilities
Alliance Automotive Group UK & Ireland,Motor Vehicle Manufacturing,Manufacturing
Pan Pacific London,Hospitality,Accomodation Services
HL Display - The better shopping experience,Retail,Retail
Lanes Group,Utilities,Utilities
Wales & West Utilities,Utilities,Utilities
Connected Kerb,Utilities,Utilities
EcoSure | Lobster Ink,E-Learning Providers,Education
BLUEMINT,Retail Apparel and Fashion,Retail
RaboResearch Food & Agribusiness,Banking,Financial Services
MetaWin,Entertainment Providers,Entertainment Providers
FMTG | Falkensteiner Michaeler Tourism Group,Hospitality,Accomodation Services
Thon Hotels,Hospitality,Accomodation Services
Dirk van den Broek,Retail,Retail
Sumitomo Electric Bordnetze SE,Motor Vehicle Manufacturing,Manufacturing
Bayernwerk,Utilities,Utilities
BAUHAUS Deutschland,Retail,Retail
THE OUTNET.COM,Retail,Retail
Samhall AB,Civic and Social Organizations,Consumer Services
Côte Restaurants,Restaurants,Accomodation Services
yfood Labs,Food & Beverages,Retail
Stockholm Exergi,Utilities,Utilities
Peel L&P,Real Estate,Real Estate and Equipment Rental Services
The Berkeley,Hospitality,Accomodation Services
F1 Arcade,Hospitality,Accomodation Services
Stonegate Pub Partners,Hospitality,Accomodation Services
Altissia,E-Learning Providers,Education
Development Bank of Wales,Banking,Financial Services
Vattenfall Eldistribution AB,Utilities,Utilities
Škoda UK,Motor Vehicle Manufacturing,Manufacturing
Casablanca Paris,Luxury Goods and Jewelry,Retail
Rotterdam Ahoy,Events Services,Administrative and Support Services
UMG for Brands,Entertainment Providers,Entertainment Providers
Thatchers Cider Company Ltd,Food and Beverage Services,Accomodation Services
Vienna Tourist Board,"Leisure, Travel & Tourism",Administrative and Support Services
Kineo,E-Learning Providers,Education
CO-RO,Food & Beverages,Retail
Netbeheer Nederland,Utilities,Utilities
"DIGIT, a Scopely Studio",Mobile Gaming Apps,"Technology, Information and Media"
flyp,Real Estate,Real Estate and Equipment Rental Services
Muc-Off,Consumer Goods,Retail
Axel Arigato,Retail Apparel and Fashion,Retail
Arnotts,Retail,Retail
Heroes,Retail,Retail
OK a.m.b.a.,Utilities,Utilities
Portaal,Real Estate,Real Estate and Equipment Rental Services
Oasis Fashion,Retail Apparel and Fashion,Retail
Sircle Collection,Hospitality,Accomodation Services
Office Depot UK,Retail Office Equipment,Retail
Queen of Clubs Lifestyle Luxury Services,"Leisure, Travel & Tourism",Administrative and Support Services
Metroselskabet,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
MERIDA BIKES INTERNATIONAL,Retail,Retail
BA Euroflyer,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Motel Rocks,Retail,Retail
Protean Electric,Motor Vehicle Manufacturing,Manufacturing
TheSqua.re Serviced Apartments,Hospitality,Accomodation Services
Evides Waterbedrijf,Utilities,Utilities
Octopus Real Estate,Real Estate,Real Estate and Equipment Rental Services
Watchfinder,Retail Luxury Goods and Jewelry,Retail
Bank of Scotland,Banking,Financial Services
The Red Carnation Hotel Collection (Red Carnation Hotels),Hospitality,Accomodation Services
Vehicle Motion Control @ ZF,Motor Vehicle Manufacturing,Manufacturing
BMW Startup Garage,Motor Vehicle Manufacturing,Manufacturing
Cummins Europe,Motor Vehicle Manufacturing,Manufacturing
Tirlán,Food and Beverage Services,Accomodation Services
Natoora,Food and Beverage Services,Accomodation Services
Smyle,Events Services,Administrative and Support Services
Elbe Flugzeugwerke GmbH,Aviation & Aerospace,"Transportation, Logistics, Supply Chain and Storage"
SMK – Statens Museum for Kunst,"Museums, Historical Sites, and Zoos",Entertainment Providers
Företagarna | Swedish Federation of Business Owners,Civic and Social Organizations,Consumer Services
Müller Holding GmbH & Co. KG,Retail,Retail
Grind | Certified B Corp,Restaurants,Accomodation Services
limehome,Hospitality,Accomodation Services
Ella's Kitchen,Food and Beverage Services,Accomodation Services
ZDHC Roadmap to Zero Programme,Retail Apparel and Fashion,Retail
Ebusco,Motor Vehicle Manufacturing,Manufacturing
NTI,E-Learning Providers,Education
Ubisoft Blue Byte GmbH,Computer Games,"Technology, Information and Media"
AUTEL Automotive Intelligence – Europe,Motor Vehicle Manufacturing,Manufacturing
Mercedes-Benz Trucks UK,Motor Vehicle Manufacturing,Manufacturing
Espresso House Group,Food and Beverage Services,Accomodation Services
Alliance Automotive Group,Motor Vehicle Manufacturing,Manufacturing
Centre for Information Resilience,Civic and Social Organizations,Consumer Services
LandTech,Real Estate,Real Estate and Equipment Rental Services
Hyundai Motor UK,Motor Vehicle Manufacturing,Manufacturing
NTR,Broadcast Media Production and Distribution,"Technology, Information and Media"
Northern Gas Networks,Utilities,Utilities
ZigZag Global,Retail,Retail
Easyfairs,Events Services,Administrative and Support Services
Tokmanni,Retail,Retail
Newcastle International Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Fressnapf Holding SE,Retail,Retail
Ford Deutschland,Motor Vehicle Manufacturing,Manufacturing
Ymere,Real Estate,Real Estate and Equipment Rental Services
Westford Uni Online,E-Learning Providers,Education
TT Games Ltd,Entertainment Providers,Entertainment Providers
Boots Ireland,Retail,Retail
flaconi,Online and Mail Order Retail,Retail
WMF Professional Coffee Machines,Food & Beverages,Retail
AEG Europe,Entertainment Providers,Entertainment Providers
E.ON Group Innovation,Utilities,Utilities
Your Housing Group,Civic and Social Organizations,Consumer Services
Bayerische Landesbank,Banking,Financial Services
So Energy,Utilities,Utilities
ABN AMRO MeesPierson,Banking,Financial Services
ARLA Propertymark,Real Estate,Real Estate and Equipment Rental Services
AG REAL ESTATE,Real Estate,Real Estate and Equipment Rental Services
Fabege,Real Estate,Real Estate and Equipment Rental Services
The Lanesborough,Hospitality,Accomodation Services
ONLY BRAND HOUSE,Apparel and Fashion,Retail
Bigpoint GmbH,Computer Games,"Technology, Information and Media"
Koelnmesse GmbH,Events Services,Administrative and Support Services
Julius Meinl Coffee Group,Food & Beverages,Retail
embedded world Exhibition&Conference,Events Services,Administrative and Support Services
ICBC Standard Bank Plc,Banking,Financial Services
Soho Theatre,Performing Arts,Entertainment Providers
Kaufland e-commerce,Online and Mail Order Retail,Retail
Innova Market Insights,Food and Beverage Services,Accomodation Services
Hutten,Events Services,Administrative and Support Services
Northern Gas and Power,Utilities,Utilities
Fidor Solutions is now SBS,Banking,Financial Services
Intuition,E-Learning,Education
Fielmann Group,Retail,Retail
LELO,Retail Luxury Goods and Jewelry,Retail
Smythson of Bond Street,Luxury Goods and Jewelry,Retail
KINTO Mobility,Motor Vehicle Manufacturing,Manufacturing
Vytal Global,Food and Beverage Services,Accomodation Services
TDA. (Touchdown Aviation),Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Restaurant Associates UK,Restaurants,Accomodation Services
Spar Nord,Banking,Financial Services
Prezzo,Restaurants,Accomodation Services
Helen,Utilities,Utilities
Virgin Atlantic Cargo,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
FirstBank UK Limited,Banking,Financial Services
Arora Group,Hospitality,Accomodation Services
Harding+,Retail,Retail
Keytrade Bank,Banking,Financial Services
EkasCloud London,E-Learning Providers,Education
ELEVEN SPORTS HQ,Broadcast Media Production and Distribution,"Technology, Information and Media"
Moco Museum,"Museums, Historical Sites, and Zoos",Entertainment Providers
Flyr,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
FitFlop,Retail Apparel and Fashion,Retail
Tiger Aspect,Broadcast Media Production and Distribution,"Technology, Information and Media"
Augustinus Bader,Cosmetics,retail
BerryWorld,Food and Beverage Services,Accomodation Services
KLM UK Engineering Limited,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Energy Assets,Utilities,Utilities
UBM Development,Real Estate,Real Estate and Equipment Rental Services
Liantis,Civic and Social Organizations,Consumer Services
CBRE Ireland,Real Estate,Real Estate and Equipment Rental Services
Ben Sherman,Retail Apparel and Fashion,Retail
SHAPING NEW TOMORROW,Apparel and Fashion,Retail
Bremont Watch Company,Retail Luxury Goods and Jewelry,Retail
Fisher German LLP,Real Estate,Real Estate and Equipment Rental Services
Toyota Boshoku Europe N.V.,Motor Vehicle Manufacturing,Manufacturing
Takko Fashion,Retail,Retail
LOOKFANTASTIC.COM,Retail,Retail
Peacocks,Retail,Retail
Willhem AB,Real Estate,Real Estate and Equipment Rental Services
MÄHREN AG,Real Estate,Real Estate and Equipment Rental Services
Biltema,Retail,Retail
Lionhead Studios,Computer Games,"Technology, Information and Media"
Mersey Care NHS Foundation Trust,"Health, Wellness and Fitness",Entertainment Providers
Louwman Group,Motor Vehicle Manufacturing,Manufacturing
Norwegian Seafood Council,Food & Beverages,Retail
Ginetta Cars,Motor Vehicle Manufacturing,Manufacturing
Young Vic,Performing Arts,Entertainment Providers
MAX Burgers,Restaurants,Accomodation Services
bonprix,Retail Apparel and Fashion,Retail
Argent LLP,Real Estate,Real Estate and Equipment Rental Services
SafeLives,Civic and Social Organizations,Consumer Services
GLP Europe,Real Estate,Real Estate and Equipment Rental Services
Hilton Amsterdam,Hospitality,Accomodation Services
Play Media,Broadcast Media Production and Distribution,"Technology, Information and Media"
Albron,Food and Beverage Services,Accomodation Services
Opus Energy,Utilities,Utilities
McMakler,Real Estate,Real Estate and Equipment Rental Services
Vejle Kommune,Civic and Social Organizations,Consumer Services
Casa International,Retail,Retail
THE PIG Hotel | B Corp,Hospitality,Accomodation Services
GALERIA,Retail,Retail
Broadcast Solutions Group,Broadcast Media Production and Distribution,"Technology, Information and Media"
Stanhope PLC,Real Estate,Real Estate and Equipment Rental Services
HOK-Elanto,Retail,Retail
Surya Foods,Food and Beverage Services,Accomodation Services
"East Midlands Chamber (Derbyshire, Leicestershire, Nottinghamshire)",Civic and Social Organizations,Consumer Services
Lucy & Yak,Retail,Retail
Urban Pubs and Bars,Hospitality,Accomodation Services
Sony DADC,Entertainment Providers,Entertainment Providers
OPUS,Social Networking Platforms,"Technology, Information and Media"
Duni Group,Consumer Goods,Retail
Jurys Inn Hotel Group,Hospitality,Accomodation Services
NIE Networks,Utilities,Utilities
LINDBERG,Retail Luxury Goods and Jewelry,Retail
Cohabs,Real Estate,Real Estate and Equipment Rental Services
HBL Bank UK,Banking,Financial Services
Eigen Haard,Real Estate,Real Estate and Equipment Rental Services
The Works Stores Ltd,Retail,Retail
Artificial Core,Computer Games,"Technology, Information and Media"
UKPS,Utilities,Utilities
Fentimans,Food and Beverage Services,Accomodation Services
The smarter E,Events Services,Administrative and Support Services
Zoologisk Have,"Museums, Historical Sites, and Zoos",Entertainment Providers
August,Real Estate,Real Estate and Equipment Rental Services
Frostbite,Computer Games,"Technology, Information and Media"
Azerion Turkey,Entertainment Providers,Entertainment Providers
Liverpool John Lennon Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Boux Avenue,Retail Apparel and Fashion,Retail
Rundfunk Berlin-Brandenburg,Broadcast Media Production and Distribution,"Technology, Information and Media"
XOTELS - Revenue Management Consulting,Hospitality,Accomodation Services
Kunstmuseum Den Haag,"Museums, Historical Sites, and Zoos",Entertainment Providers
ASK Italian,Restaurants,Accomodation Services
CBRE Belgium,Real Estate,Real Estate and Equipment Rental Services
Allwyn UK,Entertainment Providers,Entertainment Providers
Semler Gruppen A/S,Motor Vehicle Manufacturing,Manufacturing
Tactile Games,Mobile Gaming Apps,"Technology, Information and Media"
Bank of London,Banking,Financial Services
Göteborg Energi,Utilities,Utilities
Leger des Heils Jeugdbescherming & Reclassering,Civic and Social Organizations,Consumer Services
Heal's,Retail,Retail
Shanly Homes,Real Estate,Real Estate and Equipment Rental Services
Quantum Immobilien AG,Real Estate,Real Estate and Equipment Rental Services
Absolute,"Movies, Videos and Sound","Technology, Information and Media"
PATRIZIA Deutschland,Real Estate,Real Estate and Equipment Rental Services
VIKTOR&ROLF,Retail Luxury Goods and Jewelry,Retail
Ars Electronica,"Museums, Historical Sites, and Zoos",Entertainment Providers
Amilla Maldives,Hospitality,Accomodation Services
Zizzi Restaurants,Restaurants,Accomodation Services
emc3 | Certified B Corp,Events Services,Administrative and Support Services
Scandinavian Cosmetics,Retail Health and Personal Care Products,Retail
The AI Summit Series,Events Services,Administrative and Support Services
REV'IT! Sport International,Retail Apparel and Fashion,Retail
Senaatti-kiinteistöt,Real Estate,Real Estate and Equipment Rental Services
ZF Aftermarket,Motor Vehicle Manufacturing,Manufacturing
YO! Sushi,Restaurants,Accomodation Services
Red Kite Games,Computer Games,"Technology, Information and Media"
Tangle Teezer Ltd,Retail,Retail
TOAST,Retail,Retail
The Profs,E-Learning Providers,Education
AMF Fastigheter AB,Real Estate,Real Estate and Equipment Rental Services
One Stop Stores Ltd,Retail,Retail
CUPRA Deutschland,Motor Vehicle Manufacturing,Manufacturing
Danish Film Institute (DFI),"Movies, Videos and Sound","Technology, Information and Media"
Urban Arrow,Consumer Goods,Retail
Lloyds Corporate & Institutional,Banking,Financial Services
Elite Hotels of Sweden AB,Hospitality,Accomodation Services
Select Property,Real Estate,Real Estate and Equipment Rental Services
"MTV UK, Northern & Eastern Europe",Broadcast Media Production and Distribution,"Technology, Information and Media"
Stage One Creative Services Ltd,Events Services,Administrative and Support Services
thortful,Retail,Retail
Euro Garages Ltd,Retail,Retail
Essentiel Antwerp,Retail Apparel and Fashion,Retail
German Airways,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Proof Drinks,Food and Beverage Services,Accomodation Services
National Theatre of Scotland,Performing Arts,Entertainment Providers
NürnbergMesse Group,Events Services,Administrative and Support Services
Edinburgh International Festival,Performing Arts,Entertainment Providers
STV Group plc,Broadcast Media Production and Distribution,"Technology, Information and Media"
SpareBank 1,Banking,Financial Services
OAG,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Watkin Jones Group,Real Estate,Real Estate and Equipment Rental Services
Paperchase,Retail,Retail
SPAR Österreich,Retail,Retail
Ann Summers,Retail,Retail
Argenta,Banking,Financial Services
LEON Restaurants,Hospitality,Accomodation Services
Seasalt,Retail Apparel and Fashion,Retail
The Goodwood Group,Events Services,Administrative and Support Services
CH&CO,Hospitality,Accomodation Services
ALDI Nederland,Retail,Retail
Eurest,Food and Beverage Services,Accomodation Services
AVATR Global Design Center,Motor Vehicle Manufacturing,Manufacturing
VDL Bus & Coach bv,Motor Vehicle Manufacturing,Manufacturing
Vonovia,Real Estate,Real Estate and Equipment Rental Services
Toca Boca,Mobile Gaming Apps,"Technology, Information and Media"
MG Motor UK Ltd,Motor Vehicle Manufacturing,Manufacturing
JACK WOLFSKIN,Retail Apparel and Fashion,Retail
Schweppes International Limited,Food & Beverages,Retail
Savills Ireland,Real Estate,Real Estate and Equipment Rental Services
LVNL,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Single Resolution Board,Banking,Financial Services
Redcare Pharmacy,Retail Pharmacies,Retail
Pukka Herbs,Food & Beverages,Retail
AS Watson Benelux,Retail,Retail
eviivo,Hospitality,Accomodation Services
Lucozade Ribena Suntory,Consumer Goods,Retail
Gatehouse Bank plc,Banking,Financial Services
flydocs,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
dm drogerie markt Österreich,Retail,Retail
Smyths Toys Superstores,Retail,Retail
Young's Pubs,Hospitality,Accomodation Services
Nails.INC,Retail,Retail
drupa – no. 1 for printing technologies,Events Services,Administrative and Support Services
Imagine Communications,Broadcast Media Production and Distribution,"Technology, Information and Media"
In The Style,Apparel and Fashion,Retail
Sports Interactive (SI),Computer Games,"Technology, Information and Media"
E.ON Deutschland,Utilities,Utilities
Trespass,Retail,Retail
Van Hool,Motor Vehicle Manufacturing,Manufacturing
Card Factory,Retail,Retail
"Bilka, Salling Group",Retail Groceries,Retail
